name_with_type,iso_code,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,10.05.2020,11.05.2020
Калужская обл,RU-KLU,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,2,,1,,1,4,,,7,6,,10,15,25,28,20,29,37,40,30,72,53,61,69,70,56,67,66,,,,,,,,,,,,
Омская обл,RU-OMS,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,,1,,,4,,,2,,2,1,,2,1,3,5,2,3,5,4,8,1,4,4,9,11,5,,,,,,,,,,,,
Псковская обл,RU-PSK,,,,,,,,,,,,,,,,,,,,4,2,,,,3,,,,,,,1,4,,2,,,,5,,6,5,5,5,2,8,6,4,4,15,12,17,14,4,14,,,,,,,,,,,,
Респ Карачаево-Черкесская,RU-KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,,2,2,3,7,7,19,1,17,20,19,39,24,25,46,42,19,13,16,,,,,,,,,,,,
Чувашская Республика - Чувашия,RU-CU,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,3,9,2,15,7,11,15,,13,47,12,27,29,32,10,27,43,43,35,38,42,39,37,,,,,,,,,,,,
Белгородская обл,RU-BEL,,,1,,,,,,,,,,,,,,,,,,,,,1,3,,,1,,1,,4,3,4,,8,,5,,10,4,13,12,11,9,22,10,22,32,26,19,21,27,30,28,,,,,,,,,,,,
Иркутская обл,RU-IRK,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,4,1,,,3,3,,3,4,2,5,7,4,,6,2,7,1,10,3,7,,5,5,2,,8,6,,,,,,,,,,,,
Респ Башкортостан,RU-BA,,,,,,,,,,,,,,,,,,,3,1,,,,1,,2,1,2,,,,,2,4,6,18,25,19,23,22,20,42,22,39,,45,74,25,26,33,35,37,43,61,60,,,,,,,,,,,,
Кировская обл,RU-KIR,,,,,,,,,,,1,,,2,2,,2,,,,,1,,1,3,,,,3,3,,,2,,8,1,6,1,15,,13,9,18,20,39,19,19,28,24,36,40,46,26,35,43,,,,,,,,,,,,
Ульяновская обл,RU-ULY,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,,2,34,22,8,16,,18,19,15,19,11,19,,9,32,25,27,27,24,29,19,,,,,,,,,,,,
Респ Северная Осетия - Алания,RU-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,3,1,6,7,5,,7,,18,,,13,29,26,25,32,34,31,33,30,43,53,148,121,,,,,,,,,,,,
Респ Чеченская,RU-CE,,,,,,,,,,,,,,,,,,,1,,,2,2,4,,,1,,2,3,,1,1,5,,,8,17,2,15,41,3,7,60,44,45,39,20,24,18,22,22,20,18,18,,,,,,,,,,,,
Приморский край,RU-PRI,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,2,,,,1,7,5,,3,1,4,4,4,4,9,18,13,17,7,62,19,35,34,24,24,45,20,,,,,,,,,,,,
Челябинская обл,RU-CHE,,,,,,,,,,,,,,,,1,,,,1,3,,4,3,2,,7,,2,3,1,4,1,,2,,6,,3,5,3,2,4,4,7,10,14,10,9,57,72,62,58,48,19,,,,,,,,,,,,
Респ Крым,UA-43,,,,,,,,,,,,,,,,1,,,,6,,7,1,,,1,,,2,,2,1,1,1,3,3,,2,1,,2,3,3,3,2,,1,,5,2,4,10,2,1,9,,,,,,,,,,,,
Респ Адыгея,RU-AD,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,1,,2,,6,,,,7,,,,7,,16,36,5,7,9,8,5,1,3,2,15,8,8,4,,,,,,,,,,,,
Респ Бурятия,RU-BU,,,,,,,,,,,,,,,,,,,,,2,,6,,5,6,6,5,1,4,,8,,7,4,6,1,12,4,9,6,8,3,9,3,,10,28,10,4,13,6,23,18,18,,,,,,,,,,,,
Респ Алтай,RU-AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,4,,1,,5,1,12,,3,,,,,,,,,,,,
Респ Карелия,RU-KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,4,1,1,6,4,8,3,,5,2,5,2,12,6,1,,,,,,,,,,,,
Респ Марий Эл,RU-ME,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,9,,27,1,22,,7,10,11,27,29,32,40,43,29,20,22,15,29,30,24,31,38,35,,,,,,,,,,,,
Респ Мордовия,RU-MO,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,1,,1,,7,4,2,,23,16,13,,,65,62,60,35,34,30,28,39,45,49,42,32,67,,,,,,,,,,,,
Респ Саха /Якутия/,RU-SA,,,,,,,,,,,,,,1,6,,,,,3,4,,,1,,,,,,,,,,1,,,3,3,3,1,7,2,3,9,41,19,4,5,12,9,4,11,7,7,17,,,,,,,,,,,,
Респ Татарстан,RU-TA,,,,,,,,,,,,1,,,,5,,,1,,3,1,3,,,5,,,6,,,16,,,9,,23,,11,23,,21,16,16,31,39,50,75,57,14,65,71,70,65,55,,,,,,,,,,,,
Респ Тыва,RU-TY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,1,,4,,,,1,1,9,3,3,1,,,,,,,,,,,,,
Респ Хакасия,RU-KK,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,2,,1,,3,3,,,8,6,1,11,8,22,8,8,3,12,3,49,25,8,22,22,,,,,,,,,,,,
Алтайский край,RU-ALT,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,3,,5,,6,3,,8,,2,5,3,9,5,10,9,12,43,9,8,8,63,68,27,14,24,,,,,,,,,,,,
Красноярский край,RU-KYA,,,,,,,,,,,,1,,3,,1,,,,,3,,4,,2,,6,5,,,4,3,,7,,,21,25,25,21,11,60,29,45,24,6,64,22,35,22,18,41,19,47,35,,,,,,,,,,,,
Амурская обл,RU-AMU,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,2,11,,,,3,2,3,2,4,,3,2,3,5,3,4,1,5,,,,,,,,,,,,
Архангельская обл,RU-ARK,,,,,,,,,,,,1,,,,,1,,,1,,,,,4,,,,1,,,6,,,10,,,,7,1,,1,1,5,68,7,4,2,3,14,10,20,8,6,4,,,,,,,,,,,,
Астраханская обл,RU-AST,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,16,,,8,1,,17,13,4,35,24,13,1,11,17,21,25,66,21,8,44,,,,,,,,,,,,
Вологодская обл,RU-VLG,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,3,,1,,10,,4,8,3,1,3,1,7,2,15,10,9,7,7,7,7,6,9,9,7,10,5,6,,,,,,,,,,,,
Воронежская обл,RU-VOR,,,,,,,,,,,,,,2,,,,,4,,,,,,,2,4,,,2,,9,,10,,4,,12,11,8,7,14,19,22,26,24,31,25,25,30,22,25,20,62,39,,,,,,,,,,,,
Камчатский край,RU-KAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,5,,,,,11,8,,5,7,7,15,15,6,3,23,85,8,38,,,,,,,,,,,,
Кемеровская область - Кузбасс,RU-KEM,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,2,,2,,4,1,,2,,1,3,4,4,9,6,6,9,11,9,6,21,4,4,3,,,,,,,,,,,,
Костромская обл,RU-KOS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,1,,1,3,3,,3,,,9,11,9,6,13,4,11,7,16,16,17,11,10,22,13,,,,,,,,,,,,
Курганская обл,RU-KGN,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,6,1,1,1,,,2,,5,2,5,2,2,2,6,,,,,,,,,,,,
Курская обл,RU-KRS,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,1,,,,,6,10,1,21,1,15,,31,31,25,25,26,24,22,34,32,37,44,67,69,65,68,,,,,,,,,,,,
Ленинградская обл,RU-LEN,,,,,,,,1,,,,,,,,,,,2,,,,4,,2,3,6,11,10,6,10,5,,32,18,17,5,5,16,35,108,32,24,34,29,37,42,41,39,39,43,42,43,38,53,,,,,,,,,,,,
Липецкая обл,RU-LIP,,3,,,,,,,,,,,,,,,,,2,,,,3,1,1,,1,4,3,,,8,,18,4,7,3,5,6,5,11,11,12,21,20,20,20,24,25,25,21,22,24,26,28,,,,,,,,,,,,
Магаданская обл,RU-MAG,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,15,,44,1,,2,2,9,2,9,1,3,1,7,,,,,,,,,,,,
Мурманская обл,RU-MUR,,,,,,,,,,,,,,1,,,,,,,,,,2,2,6,,4,,,,3,,25,1,23,,61,,,137,41,8,7,33,46,35,71,97,60,193,105,28,67,70,,,,,,,,,,,,
Нижегородская обл,RU-NIZ,1,,,,,,,,,,,1,,1,,4,,,,1,,,3,,,1,,13,,,22,9,,24,7,32,33,42,30,68,47,65,54,59,129,113,101,69,73,94,118,153,207,89,131,,,,,,,,,,,,
Новгородская обл,RU-NGR,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,2,,,7,6,,,8,,,27,21,6,18,10,6,26,17,14,15,25,33,10,12,,,,,,,,,,,,
Новосибирская обл,RU-NVS,,,,,,,,,,,,,1,1,2,,,,,,1,,2,1,1,,1,,,,1,,,2,5,3,7,,8,,17,11,12,10,22,24,3,16,17,41,38,58,42,60,29,,,,,,,,,,,,
Оренбургская обл,RU-ORE,,,,,,,,,,,,,,1,,,,,,3,,,2,,1,,,5,,,,2,,8,,3,,,20,8,1,28,38,20,44,,42,28,23,28,56,16,14,65,37,,,,,,,,,,,,
Рязанская обл,RU-RYA,,,,,,,,,,,,,,1,,1,,,,,,,,1,2,,,,1,6,,5,,15,,6,17,16,18,27,,38,30,41,42,22,27,76,37,46,64,63,85,101,52,,,,,,,,,,,,
Самарская обл,RU-SAM,,,,,,,,,,,3,2,,,4,,,,1,,2,2,,,,1,,2,,,,,,1,,2,1,3,5,11,,10,13,1,15,16,8,12,26,44,24,20,35,8,55,,,,,,,,,,,,
Сахалинская обл,RU-SAK,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,1,,,,5,,,,,,,1,,7,,,,,,,1,,,1,1,,,,,,,,,,,,,
Смоленская обл,RU-SMO,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,4,4,2,4,,4,34,51,26,7,13,21,16,19,36,7,11,17,10,35,45,34,,,,,,,,,,,,
Тамбовская обл,RU-TAM,,,,,,,,,,,,1,,2,,,,,,,,,,,,,3,,,1,,8,,6,,12,,15,,35,,50,,32,22,22,13,18,23,35,45,56,61,33,44,,,,,,,,,,,,
Тверская обл,RU-TVE,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,1,,1,,,2,,4,7,5,7,,44,,42,34,37,49,33,26,33,27,27,29,29,23,34,9,11,,,,,,,,,,,,
Томская обл,RU-TOM,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,,4,7,,6,,3,5,4,4,6,9,7,7,1,9,5,6,,,,,,,,,,,,
Забайкальский край,RU-ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,6,,,14,2,3,1,9,7,11,3,9,10,7,6,7,6,,,,,,,,,,,,
Еврейская Аобл,RU-YEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,2,,,1,,,1,6,3,1,2,21,9,14,14,6,,15,12,5,,,,,,,,,,,,
Ненецкий АО,RU-NEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,23,,1,9,18,1,,,,,,,,,,,,
Чукотский АО,RU-CHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,4,,5,1,3,2,,,,,,,,,,,,,,
г Севастополь,UA-40,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,1,1,,4,,1,4,1,1,6,,1,5,3,3,40,,,,,,,,,,,,
г Байконур,KZ-BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
